week_start,region,spend,sessions,conversions
2026-04-27,East,47596.0,5980,184
2026-04-27,West,75825.0,8967,282
2026-05-04,North,74676.0,8859,279
2026-05-04,North-West,121267.0,15601,496
2026-05-04,South,93248.0,11582,383
2026-05-04,East,49044.0,6150,197
2026-05-04,West,74698.0,9629,302
2026-05-11,North,76979.0,9363,297
2026-05-11,North-West,123610.0,15602,481
2026-05-11,South,90396.0,11545,382
2026-05-11,East,46725.0,6337,210
2026-05-11,West,68438.0,9508,303
2026-05-18,North,70893.0,9134,298
2026-05-18,North-West,120264.0,15120,493
2026-05-18,South,87927.0,11384,358
2026-05-18,East,50091.0,6283,198
2026-05-18,West,74689.0,9283,300
2026-05-25,North,75799.0,8823,287
2026-05-25,North-West,123457.0,14843,484
2026-05-25,South,92741.0,11021,356
2026-05-25,East,50337.0,6135,198
2026-05-25,West,72122.0,8814,282
2026-06-01,North,75794.0,9655,314
2026-06-01,North-West,125639.0,16200,507
2026-06-01,South,85433.0,10862,342
2026-06-01,East,49217.0,6402,210
2026-06-01,West,72902.0,9145,301
2026-06-08,North,75137.0,9441,302
2026-06-08,North-West,113257.0,15644,491
2026-06-08,South,89928.0,11755,380
2026-06-08,East,49171.0,6065,194
2026-06-08,West,72532.0,9516,309
2026-06-15,North,66907.0,9562,321
2026-06-15,North-West,124031.0,16419,516
2026-06-15,South,93148.0,11787,382
2026-06-15,East,51129.0,6375,206
2026-06-15,West,76796.0,9635,307
2026-06-22,North,73351.0,9360,288
2026-06-22,North-West,126277.0,15854,495
2026-06-22,South,87004.0,11415,371
2026-06-22,East,44640.0,6176,200
2026-06-22,West,72525.0,9227,295
2026-06-29,North,72180.0,9646,312
2026-06-29,North-West,128529.0,14402,462
2026-06-29,South,86719.0,11418,353
2026-06-29,East,51610.0,6187,195
2026-06-29,West,72720.0,9281,292
2026-07-06,North,77679.0,9519,249
2026-07-06,North-West,130406.0,17269,442
2026-07-06,South,98711.0,11859,330
2026-07-06,East,53483.0,6361,173
2026-07-06,West,76069.0,9991,276
2026-07-13,North,81913.0,9565,268
2026-07-13,North-West,138096.0,16105,437
2026-07-13,South,90187.0,11766,320
2026-07-13,East,52819.0,6416,172
2026-07-13,West,77735.0,9819,265
2026-07-20,North,83183.0,9028,247
2026-07-20,North-West,130162.0,17052,468
2026-07-20,South,97861.0,12599,347
2026-07-20,East,53728.0,6924,187
2026-07-20,West,80641.0,10137,262
2026-07-27,North,80303.0,9885,267
2026-07-27,North-West,132740.0,16740,446
2026-07-27,South,96806.0,12125,326
2026-07-27,East,54797.0,6730,180
2026-07-27,West,77480.0,10016,265
2026-08-03,North,81068.0,9563,253
2026-08-03,North-West,131652.0,16319,432
2026-08-03,South,99223.0,10795,292
2026-08-03,East,50248.0,6554,174
2026-08-03,West,78479.0,9920,265
2026-08-10,North,82047.0,9756,257
2026-08-10,North-West,131724.0,16097,433
2026-08-10,South,102214.0,11551,328
2026-08-10,East,55428.0,6689,172
2026-08-10,West,75048.0,10121,269
2026-08-17,North,81289.0,10034,272
2026-08-17,North-West,135151.0,15505,423
2026-08-17,South,96673.0,11478,297
2026-08-17,East,52246.0,6456,167
2026-08-17,West,79166.0,9904,274
2026-08-24,North,77764.0,9754,255
2026-08-24,North-West,133697.0,16810,458
2026-08-24,South,98116.0,12363,338
2026-08-24,East,54329.0,6497,172
2026-08-24,West,75090.0,9363,253
