ship_date,region,shipments,avg_delivery_days,sla_breaches
2025-08-17,North-West,68,2.56,2
2025-08-17,South,52,2.54,2
2025-08-17,West,38,2.66,2
2025-08-18,East,17,2.57,2
2025-08-18,North,41,2.5,2
2025-08-18,North-West,74,2.51,5
2025-08-18,South,37,2.5,1
2025-08-18,West,43,2.66,5
2025-08-19,East,31,2.79,5
2025-08-19,North,44,2.53,6
2025-08-19,North-West,58,2.71,8
2025-08-19,South,68,2.45,2
2025-08-19,West,43,2.71,3
2025-08-20,East,24,2.33,0
2025-08-20,North,37,2.45,6
2025-08-20,North-West,58,2.5,6
2025-08-20,South,46,2.59,3
2025-08-20,West,40,2.59,2
2025-08-21,East,26,2.68,0
2025-08-21,North,40,2.91,2
2025-08-21,North-West,73,2.77,3
2025-08-21,South,48,2.78,2
2025-08-21,West,40,2.58,4
2025-08-22,East,21,2.7,3
2025-08-22,North,37,2.57,4
2025-08-22,North-West,61,2.4,3
2025-08-22,South,33,2.54,4
2025-08-22,West,45,2.21,3
2025-08-23,East,26,2.54,3
2025-08-23,North,42,2.51,2
2025-08-23,North-West,59,2.43,5
2025-08-23,South,46,2.52,4
2025-08-23,West,40,2.52,4
2025-08-24,East,36,2.49,3
2025-08-24,North,43,2.45,5
2025-08-24,North-West,66,2.93,2
2025-08-24,South,44,2.76,4
2025-08-24,West,31,2.57,1
2025-08-25,East,21,2.67,1
2025-08-25,North,38,2.68,2
2025-08-25,North-West,52,2.45,3
2025-08-25,South,49,2.53,7
2025-08-25,West,40,2.57,2
2025-08-26,East,26,2.47,5
2025-08-26,North,29,2.74,1
2025-08-26,North-West,60,2.91,5
2025-08-26,South,55,2.59,2
2025-08-26,West,37,2.47,3
2025-08-27,East,32,2.67,7
2025-08-27,North,37,2.8,7
2025-08-27,North-West,62,2.51,5
2025-08-27,South,35,2.52,3
2025-08-27,West,32,2.68,2
2025-08-28,East,26,2.43,3
2025-08-28,North,39,2.63,4
2025-08-28,North-West,45,2.5,4
2025-08-28,South,33,2.89,3
2025-08-28,West,52,2.47,2
2025-08-29,East,22,2.65,1
2025-08-29,North,46,2.61,3
2025-08-29,North-West,66,2.81,6
2025-08-29,South,41,2.67,1
2025-08-29,West,35,2.5,4
2025-08-30,East,31,2.53,1
2025-08-30,North,35,2.68,4
2025-08-30,North-West,69,2.7,8
2025-08-30,South,40,2.42,3
2025-08-30,West,47,2.49,3
2025-08-31,East,23,2.75,2
2025-08-31,North,37,2.75,3
2025-08-31,North-West,72,2.81,7
2025-08-31,South,42,2.68,5
2025-08-31,West,35,2.67,4
2025-09-01,East,18,2.76,1
2025-09-01,North,39,2.74,2
2025-09-01,North-West,56,2.54,5
2025-09-01,South,52,2.72,7
2025-09-01,West,36,2.18,6
2025-09-02,East,21,2.75,0
2025-09-02,North,42,2.51,6
2025-09-02,North-West,67,2.49,5
2025-09-02,South,24,2.76,0
2025-09-02,West,37,2.5,4
2025-09-03,East,18,2.72,2
2025-09-03,North,49,2.55,3
2025-09-03,North-West,76,2.6,3
2025-09-03,South,48,2.74,5
2025-09-03,West,43,2.63,7
2025-09-04,East,23,2.51,0
2025-09-04,North,33,2.48,4
2025-09-04,North-West,72,2.69,5
2025-09-04,South,53,2.52,3
2025-09-04,West,45,2.46,4
2025-09-05,East,24,2.6,1
2025-09-05,North,43,2.58,1
2025-09-05,North-West,65,2.49,6
2025-09-05,South,48,2.61,4
2025-09-05,West,41,2.82,4
2025-09-06,East,22,2.4,2
2025-09-06,North,41,2.4,3
2025-09-06,North-West,59,2.79,7
2025-09-06,South,43,2.49,7
2025-09-06,West,41,2.63,2
2025-09-07,East,19,2.61,3
2025-09-07,North,36,2.37,5
2025-09-07,North-West,66,2.86,4
2025-09-07,South,47,2.54,4
2025-09-07,West,34,2.89,2
2025-09-08,East,19,2.35,4
2025-09-08,North,47,2.22,6
2025-09-08,North-West,63,2.38,2
2025-09-08,South,59,2.51,6
2025-09-08,West,40,2.61,1
2025-09-09,East,24,2.63,1
2025-09-09,North,47,2.49,5
2025-09-09,North-West,57,2.47,7
2025-09-09,South,49,2.46,4
2025-09-09,West,34,2.7,2
2025-09-10,East,32,2.63,3
2025-09-10,North,40,2.64,1
2025-09-10,North-West,55,2.79,2
2025-09-10,South,51,2.55,2
2025-09-10,West,29,2.42,1
2025-09-11,East,33,2.62,3
2025-09-11,North,35,2.74,2
2025-09-11,North-West,61,2.75,6
2025-09-11,South,41,2.79,2
2025-09-11,West,48,2.46,4
2025-09-12,East,23,2.57,2
2025-09-12,North,34,2.66,2
2025-09-12,North-West,73,2.53,9
2025-09-12,South,52,2.53,1
2025-09-12,West,48,2.55,4
2025-09-13,East,34,2.53,2
2025-09-13,North,44,2.68,6
2025-09-13,North-West,59,2.44,4
2025-09-13,South,52,2.5,4
2025-09-13,West,38,2.68,2
2025-09-14,East,25,2.75,1
2025-09-14,North,42,2.55,0
2025-09-14,North-West,69,2.46,7
2025-09-14,South,52,2.65,2
2025-09-14,West,37,2.91,2
2025-09-15,East,29,2.41,1
2025-09-15,North,30,2.74,5
2025-09-15,North-West,59,2.54,2
2025-09-15,South,42,2.68,4
2025-09-15,West,39,2.47,1
2025-09-16,East,22,2.76,2
2025-09-16,North,43,2.7,5
2025-09-16,North-West,52,2.86,6
2025-09-16,South,49,2.68,7
2025-09-16,West,30,2.68,4
2025-09-17,East,28,2.32,5
2025-09-17,North,39,2.7,3
2025-09-17,North-West,79,2.68,2
2025-09-17,South,52,2.55,5
2025-09-17,West,42,2.55,5
2025-09-18,East,32,2.71,3
2025-09-18,North,33,2.62,1
2025-09-18,North-West,60,2.42,11
2025-09-18,South,41,2.46,5
2025-09-18,West,31,2.64,2
2025-09-19,East,31,2.54,2
2025-09-19,North,43,2.55,3
2025-09-19,North-West,71,2.39,4
2025-09-19,South,32,2.58,3
2025-09-19,West,37,2.59,3
2025-09-20,East,26,2.66,3
2025-09-20,North,32,2.42,8
2025-09-20,North-West,60,2.56,2
2025-09-20,South,38,2.37,3
2025-09-20,West,30,2.43,1
2025-09-21,East,31,2.55,1
2025-09-21,North,36,2.46,4
2025-09-21,North-West,81,2.81,8
2025-09-21,South,51,2.75,7
2025-09-21,West,43,2.88,7
2025-09-22,East,37,2.64,2
2025-09-22,North,39,2.49,2
2025-09-22,North-West,77,2.48,2
2025-09-22,South,47,2.79,1
2025-09-22,West,32,2.49,4
2025-09-23,East,36,2.67,3
2025-09-23,North,37,2.72,6
2025-09-23,North-West,51,2.61,2
2025-09-23,South,41,2.52,3
2025-09-23,West,32,2.82,1
2025-09-24,East,34,2.52,2
2025-09-24,North,35,2.35,5
2025-09-24,North-West,60,2.73,3
2025-09-24,South,44,2.53,3
2025-09-24,West,43,2.57,2
2025-09-25,East,26,2.57,2
2025-09-25,North,40,2.71,4
2025-09-25,North-West,73,2.68,8
2025-09-25,South,54,2.61,4
2025-09-25,West,39,2.58,3
2025-09-26,East,25,2.6,2
2025-09-26,North,36,2.57,3
2025-09-26,North-West,63,2.6,7
2025-09-26,South,45,2.77,7
2025-09-26,West,32,2.4,4
2025-09-27,East,32,2.71,0
2025-09-27,North,34,2.49,1
2025-09-27,North-West,57,2.38,8
2025-09-27,South,45,2.48,3
2025-09-27,West,28,2.47,2
2025-09-28,East,20,2.37,2
2025-09-28,North,46,2.7,5
2025-09-28,North-West,66,2.47,8
2025-09-28,South,41,2.72,4
2025-09-28,West,42,2.59,3
2025-09-29,East,28,2.69,3
2025-09-29,North,31,2.74,2
2025-09-29,North-West,59,2.44,3
2025-09-29,South,43,2.57,4
2025-09-29,West,46,2.7,2
2025-09-30,East,34,2.72,1
2025-09-30,North,36,2.53,5
2025-09-30,North-West,68,2.3,5
2025-09-30,South,40,2.53,2
2025-09-30,West,28,2.5,3
2025-10-01,East,25,2.61,3
2025-10-01,North,28,2.67,4
2025-10-01,North-West,53,2.55,3
2025-10-01,South,34,2.43,3
2025-10-01,West,48,2.8,3
2025-10-02,East,24,2.65,2
2025-10-02,North,54,2.64,4
2025-10-02,North-West,80,2.49,7
2025-10-02,South,38,2.73,1
2025-10-02,West,34,2.56,1
2025-10-03,East,23,2.62,0
2025-10-03,North,27,2.74,1
2025-10-03,North-West,73,2.76,7
2025-10-03,South,38,2.72,2
2025-10-03,West,43,2.58,4
2025-10-04,East,20,2.88,2
2025-10-04,North,36,2.79,3
2025-10-04,North-West,64,2.53,6
2025-10-04,South,39,2.49,3
2025-10-04,West,50,2.5,4
2025-10-05,East,26,2.55,2
2025-10-05,North,32,2.55,2
2025-10-05,North-West,60,2.31,1
2025-10-05,South,42,2.88,4
2025-10-05,West,43,2.81,2
2025-10-06,East,25,2.54,5
2025-10-06,North,33,2.41,5
2025-10-06,North-West,59,2.4,7
2025-10-06,South,49,2.56,4
2025-10-06,West,40,2.57,2
2025-10-07,East,18,2.51,2
2025-10-07,North,37,2.8,2
2025-10-07,North-West,61,2.61,4
2025-10-07,South,39,2.94,4
2025-10-07,West,49,2.52,2
2025-10-08,East,25,2.63,3
2025-10-08,North,40,2.77,2
2025-10-08,North-West,47,2.49,4
2025-10-08,South,47,2.48,3
2025-10-08,West,48,2.78,3
2025-10-09,East,28,2.78,1
2025-10-09,North,39,2.35,2
2025-10-09,North-West,55,2.88,4
2025-10-09,South,56,2.53,8
2025-10-09,West,51,2.57,7
2025-10-10,East,29,2.66,0
2025-10-10,North,44,2.53,5
2025-10-10,North-West,56,2.67,3
2025-10-10,South,44,2.52,6
2025-10-10,West,37,2.71,2
2025-10-11,East,19,2.63,1
2025-10-11,North,45,2.52,3
2025-10-11,North-West,59,2.31,7
2025-10-11,South,57,2.61,6
2025-10-11,West,36,2.69,5
2025-10-12,East,28,2.63,5
2025-10-12,North,33,2.47,1
2025-10-12,North-West,67,2.59,4
2025-10-12,South,50,2.61,6
2025-10-12,West,27,2.37,3
2025-10-13,East,26,2.53,1
2025-10-13,North,32,2.53,1
2025-10-13,North-West,70,2.7,5
2025-10-13,South,53,2.85,2
2025-10-13,West,42,2.71,4
2025-10-14,East,27,2.54,4
2025-10-14,North,47,2.9,0
2025-10-14,North-West,74,2.58,8
2025-10-14,South,51,2.55,5
2025-10-14,West,31,2.52,3
2025-10-15,East,19,2.79,2
2025-10-15,North,37,2.87,0
2025-10-15,North-West,60,2.55,5
2025-10-15,South,57,2.74,5
2025-10-15,West,39,2.49,4
2025-10-16,East,18,2.63,2
2025-10-16,North,34,2.83,0
2025-10-16,North-West,71,2.6,8
2025-10-16,South,46,2.71,6
2025-10-16,West,47,2.57,5
2025-10-17,East,19,2.67,1
2025-10-17,North,38,2.81,3
2025-10-17,North-West,61,2.64,5
2025-10-17,South,46,2.5,6
2025-10-17,West,43,2.81,2
2025-10-18,East,24,2.39,3
2025-10-18,North,36,2.9,3
2025-10-18,North-West,64,2.57,8
2025-10-18,South,56,2.61,4
2025-10-18,West,36,2.72,4
2025-10-19,East,31,2.64,4
2025-10-19,North,37,2.61,4
2025-10-19,North-West,58,2.62,4
2025-10-19,South,54,2.79,5
2025-10-19,West,41,2.96,3
2025-10-20,East,20,2.69,1
2025-10-20,North,29,2.62,2
2025-10-20,North-West,67,2.53,8
2025-10-20,South,61,2.51,2
2025-10-20,West,43,2.54,6
2025-10-21,East,29,2.81,1
2025-10-21,North,42,2.67,2
2025-10-21,North-West,63,2.62,4
2025-10-21,South,57,2.44,4
2025-10-21,West,45,2.7,3
2025-10-22,East,26,2.52,2
2025-10-22,North,34,2.65,6
2025-10-22,North-West,56,2.87,6
2025-10-22,South,43,2.66,3
2025-10-22,West,39,2.76,2
2025-10-23,East,29,2.67,5
2025-10-23,North,40,2.78,4
2025-10-23,North-West,74,2.57,8
2025-10-23,South,45,2.53,3
2025-10-23,West,44,2.81,1
2025-10-24,East,27,2.61,1
2025-10-24,North,45,2.59,5
2025-10-24,North-West,63,2.8,5
2025-10-24,South,53,2.49,1
2025-10-24,West,46,2.7,5
2025-10-25,East,24,2.65,1
2025-10-25,North,38,2.5,3
2025-10-25,North-West,66,2.62,5
2025-10-25,South,53,2.53,3
2025-10-25,West,47,2.4,2
2025-10-26,East,34,2.4,1
2025-10-26,North,42,2.6,6
2025-10-26,North-West,82,2.51,6
2025-10-26,South,41,2.31,4
2025-10-26,West,35,2.7,2
2025-10-27,East,25,2.56,1
2025-10-27,North,38,2.78,4
2025-10-27,North-West,63,2.97,5
2025-10-27,South,41,2.54,4
2025-10-27,West,45,2.48,7
2025-10-28,East,20,2.43,1
2025-10-28,North,37,2.54,4
2025-10-28,North-West,71,2.54,8
2025-10-28,South,34,2.48,5
2025-10-28,West,30,2.53,5
2025-10-29,East,23,2.64,4
2025-10-29,North,43,2.86,6
2025-10-29,North-West,68,2.79,7
2025-10-29,South,43,2.51,3
2025-10-29,West,33,2.61,4
2025-10-30,East,31,2.43,2
2025-10-30,North,38,2.76,2
2025-10-30,North-West,71,2.5,8
2025-10-30,South,43,2.6,4
2025-10-30,West,50,2.36,4
2025-10-31,East,32,2.64,5
2025-10-31,North,41,2.54,3
2025-10-31,North-West,84,2.48,8
2025-10-31,South,49,2.78,1
2025-10-31,West,32,2.24,2
2025-11-01,East,27,2.62,2
2025-11-01,North,38,2.87,1
2025-11-01,North-West,58,2.44,7
2025-11-01,South,33,2.86,3
2025-11-01,West,37,2.62,3
2025-11-02,East,33,2.6,2
2025-11-02,North,35,2.59,4
2025-11-02,North-West,60,2.78,5
2025-11-02,South,39,2.8,4
2025-11-02,West,45,2.48,3
2025-11-03,East,22,2.75,0
2025-11-03,North,34,2.56,2
2025-11-03,North-West,72,2.73,5
2025-11-03,South,42,2.64,5
2025-11-03,West,40,2.52,4
2025-11-04,East,30,2.5,2
2025-11-04,North,36,2.55,7
2025-11-04,North-West,68,2.6,4
2025-11-04,South,44,2.44,4
2025-11-04,West,42,2.81,1
2025-11-05,East,22,2.65,1
2025-11-05,North,39,2.41,2
2025-11-05,North-West,71,2.73,7
2025-11-05,South,63,2.85,7
2025-11-05,West,42,2.77,3
2025-11-06,East,24,2.36,1
2025-11-06,North,35,2.9,2
2025-11-06,North-West,56,2.34,3
2025-11-06,South,34,2.57,2
2025-11-06,West,38,2.71,3
2025-11-07,East,25,2.79,1
2025-11-07,North,45,2.77,3
2025-11-07,North-West,66,2.42,7
2025-11-07,South,57,2.75,3
2025-11-07,West,34,2.71,4
2025-11-08,East,22,2.35,2
2025-11-08,North,28,2.74,1
2025-11-08,North-West,58,2.59,3
2025-11-08,South,56,2.5,2
2025-11-08,West,44,2.59,6
2025-11-09,East,30,2.61,4
2025-11-09,North,36,2.55,1
2025-11-09,North-West,56,2.55,6
2025-11-09,South,56,2.72,4
2025-11-09,West,39,2.3,3
2025-11-10,East,27,2.8,1
2025-11-10,North,40,2.62,1
2025-11-10,North-West,69,2.71,5
2025-11-10,South,55,2.48,6
2025-11-10,West,32,2.53,0
2025-11-11,East,26,2.56,2
2025-11-11,North,36,2.79,5
2025-11-11,North-West,65,2.61,7
2025-11-11,South,50,2.78,1
2025-11-11,West,37,2.46,3
2025-11-12,East,25,2.38,1
2025-11-12,North,42,2.59,3
2025-11-12,North-West,56,2.59,4
2025-11-12,South,45,2.56,4
2025-11-12,West,37,2.46,3
2025-11-13,East,26,2.39,3
2025-11-13,North,37,2.31,1
2025-11-13,North-West,67,2.72,3
2025-11-13,South,53,2.72,9
2025-11-13,West,48,2.65,3
2025-11-14,East,23,2.74,4
2025-11-14,North,37,2.59,1
2025-11-14,North-West,70,2.64,8
2025-11-14,South,44,2.68,3
2025-11-14,West,42,2.65,3
2025-11-15,East,30,2.71,1
2025-11-15,North,34,2.65,2
2025-11-15,North-West,70,2.55,3
2025-11-15,South,46,2.46,6
2025-11-15,West,38,2.73,4
2025-11-16,East,27,2.54,2
2025-11-16,North,36,2.77,2
2025-11-16,North-West,58,2.5,7
2025-11-16,South,50,2.52,8
2025-11-16,West,31,2.54,1
2025-11-17,East,24,2.68,1
2025-11-17,North,53,2.63,4
2025-11-17,North-West,61,2.65,2
2025-11-17,South,40,2.52,2
2025-11-17,West,42,2.47,6
2025-11-18,East,27,2.73,0
2025-11-18,North,35,2.71,4
2025-11-18,North-West,67,2.32,3
2025-11-18,South,49,2.47,4
2025-11-18,West,25,2.77,1
2025-11-19,East,28,2.62,2
2025-11-19,North,33,2.63,3
2025-11-19,North-West,70,2.52,8
2025-11-19,South,44,2.55,4
2025-11-19,West,38,2.33,3
2025-11-20,East,28,2.54,1
2025-11-20,North,38,2.47,1
2025-11-20,North-West,72,2.64,4
2025-11-20,South,52,2.5,3
2025-11-20,West,45,2.71,7
2025-11-21,East,19,2.31,2
2025-11-21,North,38,2.66,1
2025-11-21,North-West,68,2.46,4
2025-11-21,South,36,2.49,5
2025-11-21,West,36,2.54,1
2025-11-22,East,30,2.83,3
2025-11-22,North,34,2.62,2
2025-11-22,North-West,61,2.58,6
2025-11-22,South,51,2.49,6
2025-11-22,West,28,2.68,1
2025-11-23,East,34,2.48,3
2025-11-23,North,37,2.45,2
2025-11-23,North-West,67,2.44,3
2025-11-23,South,44,2.64,5
2025-11-23,West,30,2.67,2
2025-11-24,East,31,2.51,2
2025-11-24,North,34,2.58,2
2025-11-24,North-West,69,2.41,12
2025-11-24,South,54,2.48,2
2025-11-24,West,43,2.65,2
2025-11-25,East,34,2.46,1
2025-11-25,North,52,2.85,3
2025-11-25,North-West,72,2.68,5
2025-11-25,South,53,2.48,1
2025-11-25,West,33,2.62,4
2025-11-26,East,18,2.64,0
2025-11-26,North,31,2.88,2
2025-11-26,North-West,64,2.75,6
2025-11-26,South,53,2.51,9
2025-11-26,West,43,3.02,1
2025-11-27,East,35,2.43,4
2025-11-27,North,36,2.39,9
2025-11-27,North-West,68,2.39,0
2025-11-27,South,52,2.62,2
2025-11-27,West,35,2.58,4
2025-11-28,East,26,2.65,3
2025-11-28,North,27,2.53,3
2025-11-28,North-West,60,2.45,9
2025-11-28,South,49,2.6,1
2025-11-28,West,43,2.98,4
2025-11-29,East,24,2.68,0
2025-11-29,North,42,2.54,4
2025-11-29,North-West,72,2.62,7
2025-11-29,South,43,2.81,2
2025-11-29,West,34,2.63,2
2025-11-30,East,27,2.39,2
2025-11-30,North,38,2.18,2
2025-11-30,North-West,58,2.8,5
2025-11-30,South,57,2.72,6
2025-11-30,West,40,2.58,5
2025-12-01,East,31,2.62,3
2025-12-01,North,32,2.31,1
2025-12-01,North-West,70,2.74,3
2025-12-01,South,37,2.45,3
2025-12-01,West,36,2.62,2
2025-12-02,East,26,2.47,3
2025-12-02,North,40,2.6,1
2025-12-02,North-West,68,2.94,3
2025-12-02,South,43,2.86,2
2025-12-02,West,37,2.39,3
2025-12-03,East,27,2.52,1
2025-12-03,North,40,2.71,0
2025-12-03,North-West,64,2.65,4
2025-12-03,South,48,2.72,6
2025-12-03,West,42,2.82,4
2025-12-04,East,22,2.72,0
2025-12-04,North,44,2.53,3
2025-12-04,North-West,75,2.39,7
2025-12-04,South,42,2.56,1
2025-12-04,West,39,2.63,6
2025-12-05,East,24,2.79,5
2025-12-05,North,44,2.4,4
2025-12-05,North-West,66,2.71,3
2025-12-05,South,44,2.77,6
2025-12-05,West,38,2.83,5
2025-12-06,East,24,2.82,3
2025-12-06,North,41,2.53,3
2025-12-06,North-West,54,2.63,7
2025-12-06,South,44,2.67,5
2025-12-06,West,33,2.56,0
2025-12-07,East,26,2.38,2
2025-12-07,North,42,2.51,4
2025-12-07,North-West,79,2.58,5
2025-12-07,South,41,2.57,4
2025-12-07,West,30,2.39,1
2025-12-08,East,24,2.78,2
2025-12-08,North,39,2.65,0
2025-12-08,North-West,57,2.46,3
2025-12-08,South,53,2.51,2
2025-12-08,West,41,2.95,2
2025-12-09,East,29,2.76,3
2025-12-09,North,47,2.5,0
2025-12-09,North-West,75,2.24,7
2025-12-09,South,43,2.62,2
2025-12-09,West,51,2.4,1
2025-12-10,East,22,2.61,1
2025-12-10,North,47,2.46,2
2025-12-10,North-West,61,2.84,4
2025-12-10,South,54,2.51,6
2025-12-10,West,32,2.73,3
2025-12-11,East,24,2.55,2
2025-12-11,North,25,2.44,2
2025-12-11,North-West,49,2.46,4
2025-12-11,South,49,2.63,3
2025-12-11,West,44,2.68,3
2025-12-12,East,26,2.82,2
2025-12-12,North,43,2.82,2
2025-12-12,North-West,69,2.76,2
2025-12-12,South,52,2.46,2
2025-12-12,West,41,2.62,7
2025-12-13,East,24,2.61,1
2025-12-13,North,42,2.48,5
2025-12-13,North-West,66,2.41,8
2025-12-13,South,41,2.63,4
2025-12-13,West,42,2.41,7
2025-12-14,East,24,2.63,1
2025-12-14,North,29,2.54,1
2025-12-14,North-West,68,2.73,6
2025-12-14,South,41,2.74,2
2025-12-14,West,33,2.62,3
2025-12-15,East,24,2.6,3
2025-12-15,North,40,2.74,1
2025-12-15,North-West,68,2.84,6
2025-12-15,South,48,2.73,4
2025-12-15,West,39,2.7,2
2025-12-16,East,24,2.82,3
2025-12-16,North,45,2.41,2
2025-12-16,North-West,73,2.32,2
2025-12-16,South,38,2.55,6
2025-12-16,West,53,2.81,8
2025-12-17,East,26,2.82,3
2025-12-17,North,33,2.59,2
2025-12-17,North-West,68,2.78,3
2025-12-17,South,55,2.94,6
2025-12-17,West,40,2.55,5
2025-12-18,East,23,2.64,2
2025-12-18,North,41,2.75,5
2025-12-18,North-West,93,2.7,4
2025-12-18,South,41,2.7,5
2025-12-18,West,26,2.82,1
2025-12-19,East,35,2.78,4
2025-12-19,North,36,2.45,3
2025-12-19,North-West,69,2.64,4
2025-12-19,South,51,2.71,2
2025-12-19,West,45,2.42,2
2025-12-20,East,24,2.65,2
2025-12-20,North,36,2.64,4
2025-12-20,North-West,55,2.76,3
2025-12-20,South,52,2.46,3
2025-12-20,West,37,2.62,5
2025-12-21,East,21,2.8,4
2025-12-21,North,28,2.67,4
2025-12-21,North-West,69,2.68,5
2025-12-21,South,41,2.53,3
2025-12-21,West,40,2.4,2
2025-12-22,East,28,2.53,1
2025-12-22,North,34,2.75,2
2025-12-22,North-West,64,2.4,9
2025-12-22,South,61,2.53,5
2025-12-22,West,35,2.58,2
2025-12-23,East,23,2.73,2
2025-12-23,North,35,2.44,6
2025-12-23,North-West,62,2.57,3
2025-12-23,South,42,2.59,1
2025-12-23,West,38,2.63,3
2025-12-24,East,21,2.4,5
2025-12-24,North,37,2.79,4
2025-12-24,North-West,71,2.51,2
2025-12-24,South,55,2.54,7
2025-12-24,West,41,2.52,5
2025-12-25,East,25,2.55,0
2025-12-25,North,33,2.73,1
2025-12-25,North-West,82,2.29,6
2025-12-25,South,59,2.29,4
2025-12-25,West,49,2.67,5
2025-12-26,East,24,2.73,2
2025-12-26,North,32,2.61,3
2025-12-26,North-West,73,2.73,7
2025-12-26,South,48,2.73,3
2025-12-26,West,44,2.46,3
2025-12-27,East,25,2.54,3
2025-12-27,North,37,2.66,5
2025-12-27,North-West,65,2.38,6
2025-12-27,South,39,2.46,3
2025-12-27,West,39,2.57,3
2025-12-28,East,41,2.86,8
2025-12-28,North,35,2.66,5
2025-12-28,North-West,66,2.42,5
2025-12-28,South,52,2.64,6
2025-12-28,West,37,2.44,5
2025-12-29,East,26,2.63,1
2025-12-29,North,43,2.54,4
2025-12-29,North-West,81,2.54,5
2025-12-29,South,40,2.39,4
2025-12-29,West,38,2.73,4
2025-12-30,East,22,2.78,1
2025-12-30,North,31,2.81,0
2025-12-30,North-West,66,2.38,5
2025-12-30,South,41,2.86,5
2025-12-30,West,39,2.57,5
2025-12-31,East,25,2.68,3
2025-12-31,North,43,2.49,5
2025-12-31,North-West,58,2.78,3
2025-12-31,South,48,2.39,7
2025-12-31,West,41,2.66,2
2026-01-01,East,24,2.66,2
2026-01-01,North,38,2.62,2
2026-01-01,North-West,51,2.6,4
2026-01-01,South,45,2.47,1
2026-01-01,West,38,2.65,2
2026-01-02,East,21,2.59,0
2026-01-02,North,42,2.82,4
2026-01-02,North-West,53,2.77,4
2026-01-02,South,52,2.61,5
2026-01-02,West,44,2.52,3
2026-01-03,East,28,2.35,2
2026-01-03,North,38,2.65,4
2026-01-03,North-West,67,2.9,7
2026-01-03,South,47,2.61,3
2026-01-03,West,32,2.59,3
2026-01-04,East,27,2.63,2
2026-01-04,North,47,2.58,4
2026-01-04,North-West,58,2.55,5
2026-01-04,South,48,2.74,1
2026-01-04,West,38,2.71,3
2026-01-05,East,24,2.77,2
2026-01-05,North,47,2.63,3
2026-01-05,North-West,61,2.77,5
2026-01-05,South,53,2.6,3
2026-01-05,West,36,2.67,2
2026-01-06,East,36,2.41,4
2026-01-06,North,50,2.75,1
2026-01-06,North-West,53,2.58,1
2026-01-06,South,55,2.29,5
2026-01-06,West,50,2.73,6
2026-01-07,East,24,2.82,1
2026-01-07,North,46,2.46,6
2026-01-07,North-West,64,2.65,4
2026-01-07,South,38,2.87,1
2026-01-07,West,31,2.81,1
2026-01-08,East,28,2.57,3
