event_id,event_date,region,event_type,account_name,value,note
EVT-5085,2025-09-07,West,complaint,,,wrong item
EVT-5086,2025-09-08,West,complaint,,,wrong item
EVT-5087,2025-09-09,East,complaint,,,billing issue
EVT-5088,2025-09-09,North,complaint,,,billing issue
EVT-5089,2025-09-09,South,complaint,,,damaged item
EVT-5090,2025-09-10,North,complaint,,,late delivery
EVT-5091,2025-09-10,South,complaint,,,billing issue
EVT-5092,2025-09-11,East,complaint,,,damaged item
EVT-5093,2025-09-11,North,complaint,,,late delivery
EVT-5094,2025-09-11,North-West,complaint,,,late delivery
EVT-5095,2025-09-11,North-West,complaint,,,late delivery
EVT-5096,2025-09-14,South,complaint,,,late delivery
EVT-5097,2025-09-14,South,complaint,,,late delivery
EVT-5098,2025-09-15,North,complaint,,,billing issue
EVT-5099,2025-09-15,West,complaint,,,late delivery
EVT-5100,2025-09-16,North-West,complaint,,,wrong item
EVT-5101,2025-09-16,South,complaint,,,billing issue
EVT-5102,2025-09-17,North-West,complaint,,,late delivery
EVT-5103,2025-09-17,North-West,complaint,,,late delivery
EVT-5104,2025-09-17,North-West,complaint,,,damaged item
EVT-5105,2025-09-17,South,complaint,,,wrong item
EVT-5106,2025-09-18,North-West,complaint,,,damaged item
EVT-5107,2025-09-18,South,complaint,,,damaged item
EVT-5108,2025-09-19,North,complaint,,,late delivery
EVT-5109,2025-09-19,North,complaint,,,damaged item
EVT-5110,2025-09-19,North,complaint,,,wrong item
EVT-5111,2025-09-19,North-West,complaint,,,wrong item
EVT-5112,2025-09-19,North-West,complaint,,,billing issue
EVT-5113,2025-09-19,South,complaint,,,billing issue
EVT-5114,2025-09-20,North,complaint,,,billing issue
EVT-5115,2025-09-21,North,complaint,,,damaged item
EVT-5116,2025-09-21,South,complaint,,,billing issue
EVT-5117,2025-09-22,North,complaint,,,late delivery
EVT-5118,2025-09-22,North,complaint,,,damaged item
EVT-5119,2025-09-22,North-West,complaint,,,late delivery
EVT-5120,2025-09-22,South,complaint,,,wrong item
EVT-5121,2025-09-22,South,complaint,,,damaged item
EVT-5122,2025-09-22,West,complaint,,,late delivery
EVT-5123,2025-09-22,West,complaint,,,damaged item
EVT-5124,2025-09-23,North,complaint,,,damaged item
EVT-5125,2025-09-23,North-West,complaint,,,billing issue
EVT-5126,2025-09-23,South,complaint,,,billing issue
EVT-5127,2025-09-23,West,complaint,,,late delivery
EVT-5128,2025-09-24,North,complaint,,,late delivery
EVT-5129,2025-09-24,West,complaint,,,late delivery
EVT-5130,2025-09-24,West,complaint,,,late delivery
EVT-5131,2025-09-24,West,complaint,,,damaged item
EVT-5132,2025-09-25,North-West,complaint,,,late delivery
EVT-5133,2025-09-25,South,complaint,,,billing issue
EVT-5134,2025-09-25,South,complaint,,,damaged item
EVT-5135,2025-09-25,South,complaint,,,billing issue
EVT-5136,2025-09-25,South,complaint,,,billing issue
EVT-5137,2025-09-25,West,complaint,,,billing issue
EVT-5138,2025-09-26,North,complaint,,,wrong item
EVT-5139,2025-09-26,North-West,complaint,,,late delivery
EVT-5140,2025-09-26,West,complaint,,,late delivery
EVT-5141,2025-09-27,North-West,complaint,,,billing issue
EVT-5142,2025-09-27,North-West,complaint,,,late delivery
EVT-5143,2025-09-27,North-West,complaint,,,wrong item
EVT-5144,2025-09-27,North-West,complaint,,,billing issue
EVT-5145,2025-09-27,South,complaint,,,late delivery
EVT-5146,2025-09-28,North-West,complaint,,,damaged item
EVT-5147,2025-09-28,West,complaint,,,wrong item
EVT-5148,2025-09-29,South,complaint,,,billing issue
EVT-5149,2025-09-29,West,complaint,,,wrong item
EVT-5150,2025-09-29,West,complaint,,,late delivery
EVT-5151,2025-09-30,East,complaint,,,wrong item
EVT-5152,2025-09-30,North-West,complaint,,,billing issue
EVT-5153,2025-09-30,South,complaint,,,late delivery
EVT-5154,2025-09-30,West,complaint,,,billing issue
EVT-5155,2025-10-01,North,complaint,,,damaged item
EVT-5156,2025-10-01,South,complaint,,,late delivery
EVT-5157,2025-10-02,East,complaint,,,wrong item
EVT-5158,2025-10-02,North-West,complaint,,,wrong item
EVT-5159,2025-10-02,North-West,complaint,,,billing issue
EVT-5160,2025-10-02,North-West,complaint,,,damaged item
EVT-5161,2025-10-02,West,complaint,,,late delivery
EVT-5162,2025-10-03,North-West,complaint,,,late delivery
EVT-5163,2025-10-03,North-West,complaint,,,wrong item
EVT-5164,2025-10-03,West,complaint,,,damaged item
EVT-5165,2025-10-04,East,complaint,,,late delivery
EVT-5166,2025-10-04,East,complaint,,,wrong item
EVT-5167,2025-10-04,East,complaint,,,damaged item
EVT-5168,2025-10-04,North-West,complaint,,,billing issue
EVT-5169,2025-10-05,East,complaint,,,damaged item
EVT-5170,2025-10-05,South,complaint,,,wrong item
EVT-5171,2025-10-05,West,complaint,,,billing issue
EVT-5172,2025-10-06,East,complaint,,,damaged item
EVT-5173,2025-10-06,South,complaint,,,late delivery
EVT-5174,2025-10-07,North,complaint,,,late delivery
EVT-5175,2025-10-07,West,complaint,,,late delivery
EVT-5176,2025-10-07,West,complaint,,,wrong item
EVT-5177,2025-10-08,North,complaint,,,wrong item
EVT-5178,2025-10-08,South,complaint,,,wrong item
EVT-5179,2025-10-09,East,complaint,,,wrong item
EVT-5180,2025-10-09,North,complaint,,,damaged item
EVT-5181,2025-10-11,South,complaint,,,late delivery
EVT-5182,2025-10-12,South,complaint,,,late delivery
EVT-5183,2025-10-12,West,complaint,,,wrong item
EVT-5184,2025-10-13,North,complaint,,,wrong item
EVT-5185,2025-10-13,North-West,complaint,,,billing issue
EVT-5186,2025-10-13,North-West,complaint,,,late delivery
EVT-5187,2025-10-13,South,complaint,,,damaged item
EVT-5188,2025-10-13,South,complaint,,,damaged item
EVT-5189,2025-10-14,East,complaint,,,late delivery
EVT-5190,2025-10-14,North-West,complaint,,,wrong item
EVT-5191,2025-10-15,North,complaint,,,damaged item
EVT-5192,2025-10-16,North-West,complaint,,,wrong item
EVT-5193,2025-10-16,North-West,complaint,,,damaged item
EVT-5194,2025-10-16,South,complaint,,,billing issue
EVT-5195,2025-10-17,North-West,complaint,,,wrong item
EVT-5196,2025-10-18,East,complaint,,,billing issue
EVT-5197,2025-10-19,North-West,complaint,,,billing issue
EVT-5198,2025-10-19,South,complaint,,,billing issue
EVT-5199,2025-10-19,West,complaint,,,billing issue
EVT-5200,2025-10-21,North-West,complaint,,,damaged item
EVT-5201,2025-10-21,North-West,complaint,,,late delivery
EVT-5202,2025-10-21,South,complaint,,,late delivery
EVT-5203,2025-10-22,West,complaint,,,late delivery
EVT-5204,2025-10-23,North-West,complaint,,,late delivery
EVT-5205,2025-10-23,North-West,complaint,,,wrong item
EVT-5206,2025-10-23,West,complaint,,,billing issue
EVT-5207,2025-10-24,East,complaint,,,damaged item
EVT-5208,2025-10-24,East,complaint,,,billing issue
EVT-5209,2025-10-24,East,complaint,,,wrong item
EVT-5210,2025-10-24,North,complaint,,,damaged item
EVT-5211,2025-10-24,South,complaint,,,late delivery
EVT-5212,2025-10-24,West,complaint,,,damaged item
EVT-5213,2025-10-25,South,complaint,,,wrong item
EVT-5214,2025-10-26,North,complaint,,,late delivery
EVT-5215,2025-10-26,North-West,complaint,,,late delivery
EVT-5216,2025-10-26,West,complaint,,,damaged item
EVT-5217,2025-10-26,West,complaint,,,late delivery
EVT-5218,2025-10-27,North,complaint,,,wrong item
EVT-5219,2025-10-27,North-West,complaint,,,wrong item
EVT-5220,2025-10-28,West,complaint,,,billing issue
EVT-5221,2025-10-28,West,complaint,,,damaged item
EVT-5222,2025-10-29,South,complaint,,,billing issue
EVT-5223,2025-10-30,East,complaint,,,billing issue
EVT-5224,2025-10-30,North,complaint,,,late delivery
EVT-5225,2025-10-30,North-West,complaint,,,damaged item
EVT-5226,2025-10-30,North-West,complaint,,,billing issue
EVT-5227,2025-10-30,South,complaint,,,billing issue
EVT-5228,2025-10-31,North-West,complaint,,,late delivery
EVT-5229,2025-10-31,South,complaint,,,damaged item
EVT-5230,2025-10-31,West,complaint,,,late delivery
EVT-5231,2025-11-01,North,complaint,,,late delivery
EVT-5232,2025-11-01,North-West,complaint,,,damaged item
EVT-5233,2025-11-01,West,complaint,,,billing issue
EVT-5234,2025-11-02,North,complaint,,,late delivery
EVT-5235,2025-11-03,North,complaint,,,damaged item
EVT-5236,2025-11-04,East,complaint,,,wrong item
EVT-5237,2025-11-04,North-West,complaint,,,wrong item
EVT-5238,2025-11-05,North-West,complaint,,,damaged item
EVT-5239,2025-11-05,North-West,complaint,,,damaged item
EVT-5240,2025-11-05,South,complaint,,,damaged item
EVT-5241,2025-11-07,North-West,complaint,,,damaged item
EVT-5242,2025-11-07,North-West,complaint,,,damaged item
EVT-5243,2025-11-07,South,complaint,,,late delivery
EVT-5244,2025-11-08,North-West,complaint,,,late delivery
EVT-5245,2025-11-08,South,complaint,,,damaged item
EVT-5246,2025-11-09,South,complaint,,,billing issue
EVT-5247,2025-11-10,East,complaint,,,damaged item
EVT-5248,2025-11-10,East,complaint,,,damaged item
EVT-5249,2025-11-11,South,complaint,,,late delivery
EVT-5250,2025-11-12,East,complaint,,,wrong item
EVT-5251,2025-11-12,North,complaint,,,damaged item
EVT-5252,2025-11-13,South,complaint,,,wrong item
EVT-5253,2025-11-14,North-West,complaint,,,damaged item
EVT-5254,2025-11-14,South,complaint,,,billing issue
EVT-5255,2025-11-14,West,complaint,,,billing issue
EVT-5256,2025-11-15,North-West,complaint,,,wrong item
EVT-5257,2025-11-15,North-West,complaint,,,damaged item
EVT-5258,2025-11-15,South,complaint,,,billing issue
EVT-5259,2025-11-15,South,complaint,,,late delivery
EVT-5260,2025-11-15,West,complaint,,,wrong item
EVT-5261,2025-11-16,North,complaint,,,late delivery
EVT-5262,2025-11-16,North-West,complaint,,,wrong item
EVT-5263,2025-11-16,South,complaint,,,billing issue
EVT-5264,2025-11-16,South,complaint,,,late delivery
EVT-5265,2025-11-17,North,complaint,,,damaged item
EVT-5266,2025-11-17,North-West,complaint,,,billing issue
EVT-5267,2025-11-17,North-West,complaint,,,damaged item
EVT-5268,2025-11-17,South,complaint,,,late delivery
EVT-5269,2025-11-18,North,complaint,,,late delivery
EVT-5270,2025-11-19,East,complaint,,,damaged item
EVT-5271,2025-11-19,East,complaint,,,wrong item
EVT-5272,2025-11-19,North-West,complaint,,,damaged item
EVT-5273,2025-11-20,East,complaint,,,wrong item
EVT-5274,2025-11-20,North,complaint,,,damaged item
EVT-5275,2025-11-20,North-West,complaint,,,wrong item
EVT-5276,2025-11-20,North-West,complaint,,,wrong item
EVT-5277,2025-11-20,South,complaint,,,late delivery
EVT-5278,2025-11-20,West,complaint,,,wrong item
EVT-5279,2025-11-21,North-West,complaint,,,billing issue
EVT-5280,2025-11-21,North-West,complaint,,,billing issue
EVT-5281,2025-11-21,North-West,complaint,,,billing issue
EVT-5282,2025-11-21,West,complaint,,,wrong item
EVT-5283,2025-11-23,North,complaint,,,damaged item
EVT-5284,2025-11-23,North-West,complaint,,,late delivery
EVT-5285,2025-11-23,West,complaint,,,damaged item
EVT-5286,2025-11-25,North,complaint,,,billing issue
EVT-5287,2025-11-26,East,complaint,,,wrong item
EVT-5288,2025-11-26,South,complaint,,,damaged item
EVT-5289,2025-11-26,West,complaint,,,damaged item
EVT-5290,2025-11-27,North-West,complaint,,,wrong item
EVT-5291,2025-11-28,North-West,complaint,,,billing issue
EVT-5292,2025-11-28,North-West,complaint,,,late delivery
EVT-5293,2025-11-28,North-West,complaint,,,damaged item
EVT-5294,2025-11-28,South,complaint,,,damaged item
EVT-5295,2025-11-28,West,complaint,,,damaged item
EVT-5296,2025-11-29,North-West,complaint,,,billing issue
EVT-5297,2025-11-29,North-West,complaint,,,billing issue
EVT-5298,2025-11-29,South,complaint,,,late delivery
EVT-5299,2025-11-30,North-West,complaint,,,billing issue
EVT-5300,2025-12-01,North-West,complaint,,,billing issue
EVT-5301,2025-12-01,North-West,complaint,,,damaged item
EVT-5302,2025-12-01,West,complaint,,,damaged item
EVT-5303,2025-12-02,North,complaint,,,damaged item
EVT-5304,2025-12-02,North-West,complaint,,,billing issue
EVT-5305,2025-12-02,North-West,complaint,,,wrong item
EVT-5306,2025-12-02,West,complaint,,,damaged item
EVT-5307,2025-12-03,East,complaint,,,billing issue
EVT-5308,2025-12-03,North-West,complaint,,,damaged item
EVT-5309,2025-12-03,West,complaint,,,billing issue
EVT-5310,2025-12-03,West,complaint,,,damaged item
EVT-5311,2025-12-04,North-West,complaint,,,wrong item
EVT-5312,2025-12-05,East,complaint,,,damaged item
EVT-5313,2025-12-05,North-West,complaint,,,damaged item
EVT-5314,2025-12-06,North,complaint,,,wrong item
EVT-5315,2025-12-06,West,complaint,,,wrong item
EVT-5316,2025-12-07,North-West,complaint,,,billing issue
EVT-5317,2025-12-08,South,complaint,,,damaged item
EVT-5318,2025-12-08,West,complaint,,,wrong item
EVT-5319,2025-12-09,North,complaint,,,damaged item
EVT-5320,2025-12-09,West,complaint,,,late delivery
EVT-5321,2025-12-10,North-West,complaint,,,wrong item
EVT-5322,2025-12-10,North-West,complaint,,,wrong item
EVT-5323,2025-12-11,North,complaint,,,wrong item
EVT-5324,2025-12-11,North-West,complaint,,,wrong item
EVT-5325,2025-12-12,East,complaint,,,wrong item
EVT-5326,2025-12-12,North-West,complaint,,,damaged item
EVT-5327,2025-12-12,West,complaint,,,late delivery
EVT-5328,2025-12-13,East,complaint,,,damaged item
EVT-5329,2025-12-13,North-West,complaint,,,late delivery
EVT-5330,2025-12-13,West,complaint,,,damaged item
EVT-5331,2025-12-14,North,complaint,,,damaged item
EVT-5332,2025-12-14,North-West,complaint,,,late delivery
EVT-5333,2025-12-15,North-West,complaint,,,late delivery
EVT-5334,2025-12-16,North,complaint,,,billing issue
EVT-5335,2025-12-16,South,complaint,,,late delivery
EVT-5336,2025-12-16,South,complaint,,,wrong item
EVT-5337,2025-12-17,East,complaint,,,damaged item
EVT-5338,2025-12-17,West,complaint,,,billing issue
EVT-5339,2025-12-18,East,complaint,,,billing issue
EVT-5340,2025-12-18,North,complaint,,,late delivery
EVT-5341,2025-12-18,North,complaint,,,late delivery
EVT-5342,2025-12-18,North-West,complaint,,,late delivery
EVT-5343,2025-12-19,East,complaint,,,wrong item
EVT-5344,2025-12-19,South,complaint,,,damaged item
EVT-5345,2025-12-20,East,complaint,,,wrong item
EVT-5346,2025-12-20,North,complaint,,,damaged item
EVT-5347,2025-12-20,North,complaint,,,damaged item
EVT-5348,2025-12-20,West,complaint,,,late delivery
EVT-5349,2025-12-20,West,complaint,,,damaged item
EVT-5350,2025-12-21,North-West,complaint,,,billing issue
EVT-5351,2025-12-21,South,complaint,,,wrong item
EVT-5352,2025-12-21,West,complaint,,,late delivery
EVT-5353,2025-12-22,South,complaint,,,late delivery
EVT-5354,2025-12-22,West,complaint,,,damaged item
EVT-5355,2025-12-23,West,complaint,,,late delivery
EVT-5356,2025-12-24,North-West,complaint,,,damaged item
EVT-5357,2025-12-25,North-West,complaint,,,wrong item
EVT-5358,2025-12-25,South,complaint,,,late delivery
EVT-5359,2025-12-25,South,complaint,,,late delivery
EVT-5360,2025-12-25,West,complaint,,,billing issue
EVT-5361,2025-12-26,East,complaint,,,late delivery
EVT-5362,2025-12-26,South,complaint,,,late delivery
EVT-5363,2025-12-26,South,complaint,,,wrong item
EVT-5364,2025-12-26,West,complaint,,,wrong item
EVT-5365,2025-12-27,East,complaint,,,late delivery
EVT-5366,2025-12-27,North-West,complaint,,,late delivery
EVT-5367,2025-12-28,East,complaint,,,billing issue
EVT-5368,2025-12-28,North-West,complaint,,,late delivery
EVT-5369,2025-12-28,North-West,complaint,,,wrong item
EVT-5370,2025-12-28,West,complaint,,,billing issue
EVT-5371,2025-12-29,North-West,complaint,,,damaged item
EVT-5372,2025-12-29,North-West,complaint,,,late delivery
EVT-5373,2025-12-29,North-West,complaint,,,late delivery
EVT-5374,2025-12-29,North-West,complaint,,,billing issue
EVT-5375,2025-12-29,South,complaint,,,damaged item
EVT-5376,2025-12-30,North-West,complaint,,,late delivery
EVT-5377,2025-12-30,North-West,complaint,,,damaged item
EVT-5378,2025-12-30,South,complaint,,,damaged item
EVT-5379,2025-12-30,West,complaint,,,late delivery
EVT-5380,2025-12-30,West,complaint,,,late delivery
EVT-5381,2025-12-31,East,complaint,,,damaged item
EVT-5382,2025-12-31,North,complaint,,,wrong item
EVT-5383,2025-12-31,North,complaint,,,damaged item
EVT-5384,2025-12-31,North-West,complaint,,,late delivery
EVT-5385,2025-12-31,North-West,complaint,,,late delivery
EVT-5386,2025-12-31,West,complaint,,,billing issue
EVT-5387,2026-01-01,East,complaint,,,late delivery
EVT-5388,2026-01-01,North-West,complaint,,,damaged item
EVT-5389,2026-01-01,West,complaint,,,wrong item
EVT-5390,2026-01-02,East,complaint,,,wrong item
EVT-5391,2026-01-02,North,complaint,,,wrong item
EVT-5392,2026-01-02,North-West,complaint,,,damaged item
EVT-5393,2026-01-02,South,complaint,,,wrong item
EVT-5394,2026-01-03,West,complaint,,,damaged item
EVT-5395,2026-01-04,North-West,complaint,,,damaged item
EVT-5396,2026-01-04,North-West,complaint,,,damaged item
EVT-5397,2026-01-04,North-West,complaint,,,damaged item
EVT-5398,2026-01-05,East,complaint,,,damaged item
EVT-5399,2026-01-05,South,complaint,,,late delivery
EVT-5400,2026-01-05,West,complaint,,,damaged item
EVT-5401,2026-01-06,East,complaint,,,late delivery
EVT-5402,2026-01-06,North-West,complaint,,,damaged item
EVT-5403,2026-01-06,South,complaint,,,wrong item
EVT-5404,2026-01-06,South,complaint,,,billing issue
EVT-5405,2026-01-06,West,complaint,,,wrong item
EVT-5406,2026-01-08,North-West,complaint,,,wrong item
EVT-5407,2026-01-08,North-West,complaint,,,damaged item
EVT-5408,2026-01-08,South,complaint,,,wrong item
EVT-5409,2026-01-08,South,complaint,,,damaged item
EVT-5410,2026-01-08,West,complaint,,,billing issue
EVT-5411,2026-01-09,North-West,complaint,,,late delivery
EVT-5412,2026-01-09,North-West,complaint,,,billing issue
EVT-5413,2026-01-10,North-West,complaint,,,wrong item
EVT-5414,2026-01-10,North-West,complaint,,,wrong item
EVT-5415,2026-01-10,South,complaint,,,wrong item
EVT-5416,2026-01-10,West,complaint,,,wrong item
EVT-5417,2026-01-11,East,complaint,,,late delivery
EVT-5418,2026-01-11,East,complaint,,,billing issue
EVT-5419,2026-01-11,North,complaint,,,damaged item
EVT-5420,2026-01-12,North-West,complaint,,,wrong item
EVT-5421,2026-01-12,South,complaint,,,late delivery
EVT-5422,2026-01-12,South,complaint,,,damaged item
EVT-5423,2026-01-12,West,complaint,,,damaged item
EVT-5424,2026-01-13,East,complaint,,,late delivery
EVT-5425,2026-01-13,North-West,complaint,,,late delivery
EVT-5426,2026-01-14,East,complaint,,,wrong item
EVT-5427,2026-01-14,North-West,complaint,,,late delivery
EVT-5428,2026-01-14,North-West,complaint,,,wrong item
EVT-5429,2026-01-14,South,complaint,,,billing issue
EVT-5430,2026-01-16,North-West,complaint,,,damaged item
EVT-5431,2026-01-16,North-West,complaint,,,wrong item
EVT-5432,2026-01-16,North-West,complaint,,,wrong item
EVT-5433,2026-01-17,North-West,complaint,,,late delivery
EVT-5434,2026-01-17,West,complaint,,,billing issue
EVT-5435,2026-01-18,East,complaint,,,wrong item
EVT-5436,2026-01-19,North,complaint,,,billing issue
EVT-5437,2026-01-19,North,complaint,,,wrong item
EVT-5438,2026-01-19,West,complaint,,,billing issue
EVT-5439,2026-01-20,North,complaint,,,damaged item
EVT-5440,2026-01-20,North-West,complaint,,,damaged item
EVT-5441,2026-01-20,North-West,complaint,,,late delivery
EVT-5442,2026-01-20,North-West,complaint,,,damaged item
EVT-5443,2026-01-21,North-West,complaint,,,damaged item
EVT-5444,2026-01-23,East,complaint,,,wrong item
EVT-5445,2026-01-23,North,complaint,,,wrong item
EVT-5446,2026-01-23,South,complaint,,,wrong item
EVT-5447,2026-01-24,West,complaint,,,wrong item
EVT-5448,2026-01-25,North,complaint,,,damaged item
EVT-5449,2026-01-25,North,complaint,,,damaged item
EVT-5450,2026-01-26,North,complaint,,,damaged item
EVT-5451,2026-01-26,North,complaint,,,damaged item
EVT-5452,2026-01-26,West,complaint,,,damaged item
EVT-5453,2026-01-27,North-West,complaint,,,late delivery
EVT-5454,2026-01-27,North-West,complaint,,,damaged item
EVT-5455,2026-01-27,North-West,complaint,,,damaged item
EVT-5456,2026-01-27,South,complaint,,,damaged item
EVT-5457,2026-01-28,North-West,complaint,,,wrong item
EVT-5458,2026-01-28,North-West,complaint,,,damaged item
EVT-5459,2026-01-28,South,complaint,,,late delivery
EVT-5460,2026-01-29,North-West,complaint,,,damaged item
EVT-5461,2026-01-29,West,complaint,,,damaged item
EVT-5462,2026-01-30,East,complaint,,,wrong item
EVT-5463,2026-01-30,North,complaint,,,damaged item
EVT-5464,2026-01-30,North-West,complaint,,,late delivery
EVT-5465,2026-01-30,North-West,complaint,,,billing issue
EVT-5466,2026-01-30,South,complaint,,,damaged item
EVT-5467,2026-01-30,West,complaint,,,billing issue
EVT-5468,2026-01-31,East,complaint,,,billing issue
EVT-5469,2026-01-31,North,complaint,,,late delivery
EVT-5470,2026-01-31,North-West,complaint,,,damaged item
EVT-5471,2026-02-01,North,complaint,,,billing issue
EVT-5472,2026-02-01,North-West,complaint,,,wrong item
EVT-5473,2026-02-01,West,complaint,,,wrong item
EVT-5474,2026-02-02,East,complaint,,,late delivery
EVT-5475,2026-02-02,North-West,complaint,,,late delivery
EVT-5476,2026-02-03,North,complaint,,,damaged item
EVT-5477,2026-02-03,North-West,complaint,,,wrong item
EVT-5478,2026-02-03,South,complaint,,,wrong item
EVT-5479,2026-02-04,North,complaint,,,damaged item
EVT-5480,2026-02-04,West,complaint,,,billing issue
EVT-5481,2026-02-05,East,complaint,,,damaged item
EVT-5482,2026-02-05,East,complaint,,,billing issue
EVT-5483,2026-02-05,North,complaint,,,damaged item
EVT-5484,2026-02-05,North-West,complaint,,,wrong item
EVT-5485,2026-02-05,North-West,complaint,,,wrong item
EVT-5486,2026-02-05,South,complaint,,,damaged item
EVT-5487,2026-02-06,North-West,complaint,,,late delivery
EVT-5488,2026-02-06,South,complaint,,,late delivery
EVT-5489,2026-02-06,South,complaint,,,wrong item
EVT-5490,2026-02-06,West,complaint,,,billing issue
EVT-5491,2026-02-06,West,complaint,,,damaged item
EVT-5492,2026-02-07,East,complaint,,,wrong item
EVT-5493,2026-02-07,North-West,complaint,,,late delivery
EVT-5494,2026-02-07,North-West,complaint,,,billing issue
EVT-5495,2026-02-07,South,complaint,,,late delivery
EVT-5496,2026-02-07,West,complaint,,,late delivery
EVT-5497,2026-02-08,South,complaint,,,billing issue
EVT-5498,2026-02-08,West,complaint,,,damaged item
EVT-5499,2026-02-09,North-West,complaint,,,wrong item
EVT-5500,2026-02-10,East,complaint,,,billing issue
EVT-5501,2026-02-10,North,complaint,,,damaged item
EVT-5502,2026-02-10,North-West,complaint,,,wrong item
EVT-5503,2026-02-11,North,complaint,,,late delivery
EVT-5504,2026-02-11,West,complaint,,,damaged item
