order_id,order_date,region,segment,category,account,order_value
ORD-100038,2025-08-01,North,consumer,grocery,,3184.29
ORD-100039,2025-08-01,North,consumer,electronics,,2601.24
ORD-100040,2025-08-01,North,smb,grocery,,18064.97
ORD-100041,2025-08-01,North,smb,grocery,,20499.88
ORD-100042,2025-08-01,North,smb,electronics,,20321.96
ORD-100043,2025-08-01,North,smb,electronics,,21460.0
ORD-100044,2025-08-01,North,smb,fashion,,17487.88
ORD-100045,2025-08-01,North,smb,fashion,,15798.85
ORD-100046,2025-08-01,North-West,consumer,electronics,,2790.98
ORD-100047,2025-08-01,North-West,consumer,grocery,,2613.96
ORD-100048,2025-08-01,North-West,consumer,fashion,,1865.27
ORD-100049,2025-08-01,North-West,consumer,fashion,,1098.55
ORD-100050,2025-08-01,North-West,consumer,fashion,,2464.92
ORD-100051,2025-08-01,North-West,consumer,fashion,,1923.46
ORD-100052,2025-08-01,North-West,consumer,fashion,,2609.41
ORD-100053,2025-08-01,North-West,consumer,grocery,,2419.67
ORD-100054,2025-08-01,North-West,consumer,electronics,,3841.6
ORD-100055,2025-08-01,North-West,consumer,fashion,,2184.58
ORD-100056,2025-08-01,North-West,consumer,grocery,,1478.85
ORD-100057,2025-08-01,North-West,consumer,grocery,,2561.35
ORD-100058,2025-08-01,North-West,consumer,electronics,,2598.0
ORD-100059,2025-08-01,North-West,consumer,fashion,,3623.27
ORD-100060,2025-08-01,North-West,consumer,electronics,,3151.6
ORD-100061,2025-08-01,North-West,consumer,fashion,,2721.18
ORD-100062,2025-08-01,North-West,consumer,electronics,,3716.97
ORD-100063,2025-08-01,North-West,consumer,electronics,,1330.11
ORD-100064,2025-08-01,North-West,consumer,fashion,,1824.22
ORD-100065,2025-08-01,North-West,consumer,electronics,,1566.08
ORD-100066,2025-08-01,North-West,consumer,electronics,,2049.17
ORD-100067,2025-08-01,North-West,consumer,grocery,,1160.98
ORD-100068,2025-08-01,North-West,consumer,fashion,,2971.64
ORD-100069,2025-08-01,North-West,consumer,electronics,,2200.0
ORD-100070,2025-08-01,North-West,consumer,electronics,,1076.27
ORD-100071,2025-08-01,North-West,consumer,fashion,,1485.98
ORD-100072,2025-08-01,North-West,consumer,fashion,,2682.16
ORD-100073,2025-08-01,North-West,consumer,grocery,,3154.31
ORD-100074,2025-08-01,North-West,consumer,electronics,,4197.06
ORD-100075,2025-08-01,North-West,consumer,electronics,,5022.48
ORD-100076,2025-08-01,North-West,consumer,electronics,,2772.97
ORD-100077,2025-08-01,North-West,consumer,electronics,,1509.42
ORD-100078,2025-08-01,North-West,consumer,grocery,,481.16
ORD-100079,2025-08-01,North-West,consumer,electronics,,2640.94
ORD-100080,2025-08-01,North-West,consumer,grocery,,1668.35
ORD-100081,2025-08-01,North-West,consumer,fashion,,2026.18
ORD-100082,2025-08-01,North-West,consumer,grocery,,1849.11
ORD-100083,2025-08-01,North-West,consumer,electronics,,2273.29
ORD-100084,2025-08-01,North-West,consumer,fashion,,3359.38
ORD-100085,2025-08-01,North-West,consumer,fashion,,2541.34
ORD-100086,2025-08-01,North-West,consumer,fashion,,2257.23
ORD-100087,2025-08-01,North-West,consumer,electronics,,1467.91
ORD-100088,2025-08-01,North-West,consumer,electronics,,892.79
ORD-100089,2025-08-01,North-West,consumer,fashion,,1962.32
ORD-100090,2025-08-01,North-West,consumer,grocery,,2351.6
ORD-100091,2025-08-01,North-West,consumer,electronics,,3991.14
ORD-100092,2025-08-01,North-West,consumer,grocery,,2517.25
ORD-100093,2025-08-01,North-West,consumer,grocery,,3284.47
ORD-100094,2025-08-01,North-West,consumer,fashion,,1950.63
ORD-100095,2025-08-01,North-West,consumer,electronics,,1333.55
ORD-100096,2025-08-01,North-West,consumer,fashion,,1531.39
ORD-100097,2025-08-01,North-West,consumer,electronics,,1747.3
ORD-100098,2025-08-01,North-West,consumer,grocery,,4315.62
ORD-100099,2025-08-01,North-West,consumer,grocery,,1660.75
ORD-100100,2025-08-01,North-West,consumer,electronics,,3154.64
ORD-100101,2025-08-01,North-West,consumer,electronics,,1587.37
ORD-100102,2025-08-01,North-West,consumer,grocery,,3238.42
ORD-100103,2025-08-01,North-West,consumer,fashion,,2746.46
ORD-100104,2025-08-01,North-West,consumer,grocery,,2259.03
ORD-100105,2025-08-01,North-West,consumer,fashion,,2363.31
ORD-100106,2025-08-01,North-West,consumer,fashion,,1810.69
ORD-100107,2025-08-01,North-West,consumer,grocery,,2801.46
ORD-100108,2025-08-01,North-West,smb,fashion,,14928.32
ORD-100109,2025-08-01,North-West,smb,grocery,,19641.15
ORD-100110,2025-08-01,North-West,smb,grocery,,24270.44
ORD-100111,2025-08-01,North-West,smb,grocery,,14208.76
ORD-100112,2025-08-01,North-West,smb,grocery,,14598.44
ORD-100113,2025-08-01,North-West,smb,grocery,,6834.1
ORD-100114,2025-08-01,North-West,smb,fashion,,17154.14
ORD-100115,2025-08-01,North-West,smb,grocery,,12475.45
ORD-100116,2025-08-01,South,consumer,grocery,,2068.58
ORD-100117,2025-08-01,South,consumer,fashion,,2707.4
ORD-100118,2025-08-01,South,consumer,electronics,,3955.83
ORD-100119,2025-08-01,South,consumer,grocery,,1511.83
ORD-100120,2025-08-01,South,consumer,grocery,,2179.25
ORD-100121,2025-08-01,South,consumer,fashion,,3099.6
ORD-100122,2025-08-01,South,consumer,grocery,,2791.29
ORD-100123,2025-08-01,South,consumer,grocery,,2061.46
ORD-100124,2025-08-01,South,consumer,grocery,,2279.56
ORD-100125,2025-08-01,South,consumer,electronics,,1162.59
ORD-100126,2025-08-01,South,consumer,electronics,,2185.64
ORD-100127,2025-08-01,South,consumer,grocery,,2160.25
ORD-100128,2025-08-01,South,consumer,grocery,,2608.95
ORD-100129,2025-08-01,South,consumer,electronics,,1900.21
ORD-100130,2025-08-01,South,consumer,grocery,,2824.38
ORD-100131,2025-08-01,South,consumer,grocery,,3311.44
ORD-100132,2025-08-01,South,consumer,electronics,,2539.89
ORD-100133,2025-08-01,South,consumer,grocery,,2716.58
ORD-100134,2025-08-01,South,consumer,fashion,,2447.84
ORD-100135,2025-08-01,South,consumer,electronics,,2400.08
ORD-100136,2025-08-01,South,consumer,fashion,,1750.6
ORD-100137,2025-08-01,South,consumer,fashion,,2684.84
ORD-100138,2025-08-01,South,consumer,grocery,,2312.44
ORD-100139,2025-08-01,South,consumer,electronics,,4283.85
ORD-100140,2025-08-01,South,consumer,grocery,,3816.02
ORD-100141,2025-08-01,South,consumer,fashion,,2747.26
ORD-100142,2025-08-01,South,consumer,grocery,,1713.25
ORD-100143,2025-08-01,South,consumer,fashion,,1398.83
ORD-100144,2025-08-01,South,consumer,grocery,,3472.03
ORD-100145,2025-08-01,South,consumer,grocery,,2636.47
ORD-100146,2025-08-01,South,consumer,electronics,,2832.13
ORD-100147,2025-08-01,South,consumer,fashion,,829.87
ORD-100148,2025-08-01,South,consumer,electronics,,3234.69
ORD-100149,2025-08-01,South,consumer,fashion,,2808.98
ORD-100150,2025-08-01,South,consumer,fashion,,1400.61
ORD-100151,2025-08-01,South,consumer,electronics,,1975.63
ORD-100152,2025-08-01,South,consumer,grocery,,2637.35
ORD-100153,2025-08-01,South,smb,fashion,,21904.52
ORD-100154,2025-08-01,South,smb,electronics,,27467.36
ORD-100155,2025-08-01,South,smb,fashion,,21800.03
ORD-100156,2025-08-01,East,consumer,grocery,,2680.81
ORD-100157,2025-08-01,East,consumer,fashion,,3439.78
ORD-100158,2025-08-01,East,consumer,grocery,,2947.89
ORD-100159,2025-08-01,East,consumer,fashion,,337.84
ORD-100160,2025-08-01,East,consumer,fashion,,2673.93
ORD-100161,2025-08-01,East,consumer,grocery,,2464.83
ORD-100162,2025-08-01,East,consumer,grocery,,2772.5
ORD-100163,2025-08-01,East,consumer,fashion,,3854.59
ORD-100164,2025-08-01,East,consumer,fashion,,543.09
ORD-100165,2025-08-01,East,consumer,fashion,,1868.01
ORD-100166,2025-08-01,East,consumer,electronics,,2931.82
ORD-100167,2025-08-01,East,consumer,fashion,,976.57
ORD-100168,2025-08-01,East,consumer,grocery,,3728.35
ORD-100169,2025-08-01,East,consumer,electronics,,2731.52
ORD-100170,2025-08-01,East,consumer,grocery,,3161.93
ORD-100171,2025-08-01,East,consumer,fashion,,1886.15
ORD-100172,2025-08-01,East,consumer,electronics,,3132.39
ORD-100173,2025-08-01,East,consumer,grocery,,3361.62
ORD-100174,2025-08-01,East,consumer,fashion,,2609.59
ORD-100175,2025-08-01,East,consumer,electronics,,2610.96
ORD-100176,2025-08-01,East,consumer,grocery,,2643.31
ORD-100177,2025-08-01,East,consumer,grocery,,1622.99
ORD-100178,2025-08-01,East,consumer,electronics,,2267.22
ORD-100179,2025-08-01,East,consumer,fashion,,2262.73
ORD-100180,2025-08-01,East,consumer,fashion,,2745.05
ORD-100181,2025-08-01,East,consumer,electronics,,3299.84
ORD-100182,2025-08-01,East,consumer,fashion,,1447.32
ORD-100183,2025-08-01,East,smb,electronics,,18282.64
ORD-100184,2025-08-01,East,smb,fashion,,15546.76
ORD-100185,2025-08-01,East,smb,electronics,,20388.81
ORD-100186,2025-08-01,East,smb,electronics,,21650.16
ORD-100187,2025-08-01,East,smb,electronics,,18718.86
ORD-100188,2025-08-01,West,consumer,fashion,,3146.57
ORD-100189,2025-08-01,West,consumer,grocery,,606.25
ORD-100190,2025-08-01,West,consumer,fashion,,1233.17
ORD-100191,2025-08-01,West,consumer,electronics,,1066.03
ORD-100192,2025-08-01,West,consumer,grocery,,300.0
ORD-100193,2025-08-01,West,consumer,grocery,,1789.56
ORD-100194,2025-08-01,West,consumer,grocery,,3074.49
ORD-100195,2025-08-01,West,consumer,electronics,,2143.6
ORD-100196,2025-08-01,West,consumer,electronics,,2578.01
ORD-100197,2025-08-01,West,consumer,electronics,,3380.3
ORD-100198,2025-08-01,West,consumer,electronics,,3594.92
ORD-100199,2025-08-01,West,consumer,grocery,,2337.78
ORD-100200,2025-08-01,West,consumer,grocery,,3618.23
ORD-100201,2025-08-01,West,consumer,grocery,,2482.91
ORD-100202,2025-08-01,West,consumer,grocery,,1646.34
ORD-100203,2025-08-01,West,consumer,grocery,,1865.04
ORD-100204,2025-08-01,West,consumer,electronics,,1067.52
ORD-100205,2025-08-01,West,consumer,grocery,,1600.68
ORD-100206,2025-08-01,West,consumer,electronics,,2077.78
ORD-100207,2025-08-01,West,consumer,electronics,,3123.23
ORD-100208,2025-08-01,West,consumer,grocery,,3948.69
ORD-100209,2025-08-01,West,consumer,grocery,,1156.04
ORD-100210,2025-08-01,West,consumer,electronics,,2753.54
ORD-100211,2025-08-01,West,consumer,grocery,,1463.51
ORD-100212,2025-08-01,West,consumer,grocery,,2827.23
ORD-100213,2025-08-01,West,consumer,fashion,,2282.02
ORD-100214,2025-08-01,West,consumer,grocery,,752.18
ORD-100215,2025-08-01,West,consumer,grocery,,3235.47
ORD-100216,2025-08-01,West,consumer,electronics,,1855.5
ORD-100217,2025-08-01,West,consumer,fashion,,1919.49
ORD-100218,2025-08-01,West,consumer,grocery,,1437.22
ORD-100219,2025-08-01,West,consumer,grocery,,1811.15
ORD-100220,2025-08-01,West,consumer,grocery,,2785.1
ORD-100221,2025-08-01,West,consumer,grocery,,2229.68
ORD-100222,2025-08-01,West,consumer,grocery,,2695.8
ORD-100223,2025-08-01,West,consumer,fashion,,2725.73
ORD-100224,2025-08-01,West,consumer,fashion,,3588.6
ORD-100225,2025-08-01,West,consumer,fashion,,2091.49
ORD-100226,2025-08-01,West,consumer,grocery,,1070.83
ORD-100227,2025-08-01,West,smb,fashion,,17113.88
ORD-100228,2025-08-01,West,smb,grocery,,13946.69
ORD-100229,2025-08-01,West,smb,electronics,,20237.57
ORD-100230,2025-08-01,North-West,enterprise,electronics,ENT-002|Kalinga Mart,78702.53
ORD-100231,2025-08-01,North-West,enterprise,grocery,ENT-008|Fortuna Wholesale,104694.07
ORD-100232,2025-08-01,North-West,enterprise,fashion,ENT-011|Indus Retail,72689.41
ORD-100233,2025-08-01,North-West,enterprise,grocery,ENT-011|Indus Retail,50658.92
ORD-100234,2025-08-01,North-West,enterprise,fashion,ENT-018|Pinnacle Traders,63656.71
ORD-100235,2025-08-01,North-West,enterprise,grocery,ENT-019|Quantum Retail,115884.07
ORD-100236,2025-08-01,South,enterprise,electronics,ENT-026|Xenia Traders,50553.3
ORD-100237,2025-08-01,East,enterprise,grocery,ENT-032|Dhruv Retail,81057.01
ORD-100238,2025-08-01,West,enterprise,fashion,ENT-038|Jubilee Stores,91521.2
ORD-100239,2025-08-01,West,enterprise,electronics,ENT-040|Ladakh Traders,62290.22
ORD-100240,2025-08-02,North,consumer,grocery,,3210.17
ORD-100241,2025-08-02,North,consumer,fashion,,3065.47
ORD-100242,2025-08-02,North,consumer,grocery,,2256.32
ORD-100243,2025-08-02,North,consumer,fashion,,1812.38
ORD-100244,2025-08-02,North,consumer,electronics,,2893.59
ORD-100245,2025-08-02,North,consumer,grocery,,2569.18
ORD-100246,2025-08-02,North,consumer,fashion,,1096.69
ORD-100247,2025-08-02,North,consumer,fashion,,2338.82
ORD-100248,2025-08-02,North,consumer,fashion,,2635.83
ORD-100249,2025-08-02,North,consumer,electronics,,1590.27
ORD-100250,2025-08-02,North,consumer,grocery,,2570.86
ORD-100251,2025-08-02,North,consumer,electronics,,1090.66
ORD-100252,2025-08-02,North,consumer,electronics,,3602.57
ORD-100253,2025-08-02,North,consumer,grocery,,3523.15
ORD-100254,2025-08-02,North,consumer,fashion,,2172.73
ORD-100255,2025-08-02,North,consumer,fashion,,2727.11
ORD-100256,2025-08-02,North,consumer,fashion,,300.0
ORD-100257,2025-08-02,North,consumer,fashion,,1359.29
ORD-100258,2025-08-02,North,consumer,fashion,,2135.6
ORD-100259,2025-08-02,North,consumer,electronics,,1435.08
ORD-100260,2025-08-02,North,consumer,electronics,,3042.96
ORD-100261,2025-08-02,North,consumer,grocery,,4197.57
ORD-100262,2025-08-02,North,consumer,fashion,,1341.05
ORD-100263,2025-08-02,North,consumer,electronics,,1646.28
ORD-100264,2025-08-02,North,consumer,grocery,,2611.9
ORD-100265,2025-08-02,North,consumer,grocery,,3850.0
ORD-100266,2025-08-02,North,consumer,electronics,,1299.86
ORD-100267,2025-08-02,North,consumer,grocery,,2624.13
ORD-100268,2025-08-02,North,consumer,fashion,,4039.17
ORD-100269,2025-08-02,North,consumer,grocery,,913.42
ORD-100270,2025-08-02,North,consumer,electronics,,1247.04
ORD-100271,2025-08-02,North,consumer,fashion,,2018.75
ORD-100272,2025-08-02,North,consumer,electronics,,1931.47
ORD-100273,2025-08-02,North,consumer,fashion,,3131.34
ORD-100274,2025-08-02,North,smb,fashion,,15892.6
ORD-100275,2025-08-02,North,smb,electronics,,7928.44
ORD-100276,2025-08-02,North,smb,electronics,,16385.48
ORD-100277,2025-08-02,North,smb,electronics,,16511.64
ORD-100278,2025-08-02,North-West,consumer,electronics,,2243.24
ORD-100279,2025-08-02,North-West,consumer,grocery,,3901.1
ORD-100280,2025-08-02,North-West,consumer,grocery,,1406.63
ORD-100281,2025-08-02,North-West,consumer,electronics,,2928.53
ORD-100282,2025-08-02,North-West,consumer,grocery,,2687.46
ORD-100283,2025-08-02,North-West,consumer,fashion,,1617.86
ORD-100284,2025-08-02,North-West,consumer,fashion,,2559.66
ORD-100285,2025-08-02,North-West,consumer,electronics,,3491.27
ORD-100286,2025-08-02,North-West,consumer,electronics,,2108.59
ORD-100287,2025-08-02,North-West,consumer,electronics,,877.23
ORD-100288,2025-08-02,North-West,consumer,grocery,,2384.19
ORD-100289,2025-08-02,North-West,consumer,fashion,,1587.82
ORD-100290,2025-08-02,North-West,consumer,electronics,,2091.89
ORD-100291,2025-08-02,North-West,consumer,electronics,,2326.57
ORD-100292,2025-08-02,North-West,consumer,fashion,,864.91
ORD-100293,2025-08-02,North-West,consumer,electronics,,945.91
ORD-100294,2025-08-02,North-West,consumer,grocery,,2833.86
ORD-100295,2025-08-02,North-West,consumer,fashion,,1929.55
ORD-100296,2025-08-02,North-West,consumer,electronics,,300.0
ORD-100297,2025-08-02,North-West,consumer,electronics,,3106.36
ORD-100298,2025-08-02,North-West,consumer,electronics,,2645.13
ORD-100299,2025-08-02,North-West,consumer,fashion,,1757.51
ORD-100300,2025-08-02,North-West,consumer,electronics,,1214.85
ORD-100301,2025-08-02,North-West,consumer,electronics,,3152.23
ORD-100302,2025-08-02,North-West,consumer,electronics,,2714.42
ORD-100303,2025-08-02,North-West,consumer,electronics,,4544.34
ORD-100304,2025-08-02,North-West,consumer,grocery,,2778.17
ORD-100305,2025-08-02,North-West,consumer,electronics,,2748.93
ORD-100306,2025-08-02,North-West,consumer,grocery,,2249.76
ORD-100307,2025-08-02,North-West,consumer,grocery,,3135.1
ORD-100308,2025-08-02,North-West,consumer,fashion,,2962.58
ORD-100309,2025-08-02,North-West,consumer,electronics,,3526.55
ORD-100310,2025-08-02,North-West,consumer,fashion,,1930.81
ORD-100311,2025-08-02,North-West,consumer,grocery,,2008.13
ORD-100312,2025-08-02,North-West,consumer,electronics,,1968.81
ORD-100313,2025-08-02,North-West,consumer,fashion,,3111.72
ORD-100314,2025-08-02,North-West,consumer,fashion,,3748.54
ORD-100315,2025-08-02,North-West,consumer,electronics,,1987.04
ORD-100316,2025-08-02,North-West,consumer,fashion,,2017.7
ORD-100317,2025-08-02,North-West,consumer,grocery,,2682.67
ORD-100318,2025-08-02,North-West,consumer,grocery,,2178.81
ORD-100319,2025-08-02,North-West,consumer,fashion,,3256.85
ORD-100320,2025-08-02,North-West,consumer,grocery,,373.4
ORD-100321,2025-08-02,North-West,consumer,fashion,,1655.97
ORD-100322,2025-08-02,North-West,consumer,electronics,,1695.83
ORD-100323,2025-08-02,North-West,consumer,fashion,,311.68
ORD-100324,2025-08-02,North-West,consumer,grocery,,1532.73
ORD-100325,2025-08-02,North-West,consumer,electronics,,1576.36
ORD-100326,2025-08-02,North-West,consumer,grocery,,2219.01
ORD-100327,2025-08-02,North-West,consumer,electronics,,3401.67
ORD-100328,2025-08-02,North-West,consumer,electronics,,2179.45
ORD-100329,2025-08-02,North-West,consumer,electronics,,1472.27
ORD-100330,2025-08-02,North-West,consumer,electronics,,2348.74
ORD-100331,2025-08-02,North-West,consumer,electronics,,3344.26
ORD-100332,2025-08-02,North-West,consumer,electronics,,1521.64
ORD-100333,2025-08-02,North-West,consumer,fashion,,1580.48
ORD-100334,2025-08-02,North-West,consumer,fashion,,2902.69
ORD-100335,2025-08-02,North-West,consumer,fashion,,2200.62
ORD-100336,2025-08-02,North-West,consumer,electronics,,2982.74
ORD-100337,2025-08-02,North-West,consumer,fashion,,2387.72
ORD-100338,2025-08-02,North-West,consumer,grocery,,3031.5
ORD-100339,2025-08-02,North-West,consumer,electronics,,1468.43
ORD-100340,2025-08-02,North-West,smb,fashion,,19054.55
ORD-100341,2025-08-02,North-West,smb,fashion,,12313.95
ORD-100342,2025-08-02,North-West,smb,grocery,,20064.35
ORD-100343,2025-08-02,North-West,smb,grocery,,18314.01
ORD-100344,2025-08-02,North-West,smb,electronics,,11226.21
ORD-100345,2025-08-02,North-West,smb,electronics,,17733.78
ORD-100346,2025-08-02,North-West,smb,grocery,,17585.41
ORD-100347,2025-08-02,North-West,smb,electronics,,27347.32
ORD-100348,2025-08-02,North-West,smb,grocery,,22649.91
ORD-100349,2025-08-02,North-West,smb,fashion,,18059.52
ORD-100350,2025-08-02,South,consumer,grocery,,1879.9
ORD-100351,2025-08-02,South,consumer,grocery,,2627.6
ORD-100352,2025-08-02,South,consumer,fashion,,1946.44
ORD-100353,2025-08-02,South,consumer,grocery,,1834.74
ORD-100354,2025-08-02,South,consumer,electronics,,2680.31
ORD-100355,2025-08-02,South,consumer,grocery,,2038.21
ORD-100356,2025-08-02,South,consumer,grocery,,2619.69
ORD-100357,2025-08-02,South,consumer,electronics,,2645.88
ORD-100358,2025-08-02,South,consumer,electronics,,1374.51
ORD-100359,2025-08-02,South,consumer,fashion,,1966.88
ORD-100360,2025-08-02,South,consumer,electronics,,3694.0
ORD-100361,2025-08-02,South,consumer,fashion,,1354.13
ORD-100362,2025-08-02,South,consumer,electronics,,495.01
ORD-100363,2025-08-02,South,consumer,electronics,,724.34
ORD-100364,2025-08-02,South,consumer,fashion,,2426.2
ORD-100365,2025-08-02,South,consumer,fashion,,2427.83
ORD-100366,2025-08-02,South,consumer,electronics,,2294.15
ORD-100367,2025-08-02,South,consumer,electronics,,3492.77
ORD-100368,2025-08-02,South,consumer,electronics,,300.0
ORD-100369,2025-08-02,South,consumer,grocery,,2756.34
ORD-100370,2025-08-02,South,consumer,grocery,,3805.29
ORD-100371,2025-08-02,South,consumer,electronics,,1385.0
ORD-100372,2025-08-02,South,consumer,electronics,,2058.17
ORD-100373,2025-08-02,South,consumer,grocery,,1722.4
ORD-100374,2025-08-02,South,consumer,fashion,,1595.09
ORD-100375,2025-08-02,South,consumer,grocery,,2106.36
ORD-100376,2025-08-02,South,consumer,grocery,,3684.74
ORD-100377,2025-08-02,South,consumer,electronics,,4053.65
ORD-100378,2025-08-02,South,consumer,electronics,,2097.65
ORD-100379,2025-08-02,South,consumer,electronics,,4114.55
ORD-100380,2025-08-02,South,consumer,fashion,,2432.02
ORD-100381,2025-08-02,South,consumer,fashion,,3978.32
ORD-100382,2025-08-02,South,consumer,fashion,,2316.03
ORD-100383,2025-08-02,South,consumer,fashion,,2517.95
ORD-100384,2025-08-02,South,consumer,fashion,,2728.93
ORD-100385,2025-08-02,South,consumer,fashion,,5260.97
ORD-100386,2025-08-02,South,consumer,electronics,,3166.16
ORD-100387,2025-08-02,South,smb,electronics,,19502.37
ORD-100388,2025-08-02,South,smb,fashion,,24473.73
ORD-100389,2025-08-02,South,smb,grocery,,15757.03
ORD-100390,2025-08-02,South,smb,fashion,,4991.16
ORD-100391,2025-08-02,South,smb,electronics,,9139.24
ORD-100392,2025-08-02,South,smb,grocery,,13668.21
ORD-100393,2025-08-02,South,smb,grocery,,15099.81
ORD-100394,2025-08-02,South,smb,fashion,,15876.38
ORD-100395,2025-08-02,South,smb,fashion,,18200.62
ORD-100396,2025-08-02,East,consumer,grocery,,2900.02
ORD-100397,2025-08-02,East,consumer,grocery,,1840.05
ORD-100398,2025-08-02,East,consumer,electronics,,3288.66
ORD-100399,2025-08-02,East,consumer,electronics,,3441.76
ORD-100400,2025-08-02,East,consumer,fashion,,3692.67
ORD-100401,2025-08-02,East,consumer,grocery,,2876.47
ORD-100402,2025-08-02,East,consumer,fashion,,3627.09
ORD-100403,2025-08-02,East,consumer,electronics,,707.28
ORD-100404,2025-08-02,East,consumer,grocery,,2113.88
ORD-100405,2025-08-02,East,consumer,electronics,,1619.7
ORD-100406,2025-08-02,East,consumer,electronics,,2507.3
ORD-100407,2025-08-02,East,consumer,electronics,,1885.7
ORD-100408,2025-08-02,East,consumer,electronics,,2250.46
ORD-100409,2025-08-02,East,consumer,fashion,,4093.96
ORD-100410,2025-08-02,East,consumer,electronics,,2247.25
ORD-100411,2025-08-02,East,smb,grocery,,20551.99
ORD-100412,2025-08-02,East,smb,grocery,,24241.59
ORD-100413,2025-08-02,West,consumer,grocery,,3633.49
ORD-100414,2025-08-02,West,consumer,fashion,,1964.37
ORD-100415,2025-08-02,West,consumer,grocery,,4418.63
ORD-100416,2025-08-02,West,consumer,fashion,,2398.27
ORD-100417,2025-08-02,West,consumer,grocery,,2767.23
ORD-100418,2025-08-02,West,consumer,grocery,,3855.19
ORD-100419,2025-08-02,West,consumer,electronics,,2517.92
ORD-100420,2025-08-02,West,consumer,grocery,,1497.89
ORD-100421,2025-08-02,West,consumer,grocery,,2301.25
ORD-100422,2025-08-02,West,consumer,electronics,,2367.95
ORD-100423,2025-08-02,West,consumer,electronics,,1171.73
ORD-100424,2025-08-02,West,consumer,grocery,,2169.75
ORD-100425,2025-08-02,West,consumer,grocery,,1732.03
ORD-100426,2025-08-02,West,consumer,grocery,,3231.92
ORD-100427,2025-08-02,West,consumer,electronics,,2431.15
ORD-100428,2025-08-02,West,consumer,electronics,,2145.48
ORD-100429,2025-08-02,West,consumer,electronics,,2304.44
ORD-100430,2025-08-02,West,consumer,fashion,,2600.81
ORD-100431,2025-08-02,West,consumer,fashion,,2955.13
ORD-100432,2025-08-02,West,consumer,electronics,,1500.26
ORD-100433,2025-08-02,West,consumer,grocery,,1462.57
ORD-100434,2025-08-02,West,consumer,electronics,,3394.21
ORD-100435,2025-08-02,West,consumer,electronics,,2028.9
ORD-100436,2025-08-02,West,consumer,electronics,,1124.84
ORD-100437,2025-08-02,West,consumer,electronics,,2799.43
ORD-100438,2025-08-02,West,consumer,grocery,,2817.03
ORD-100439,2025-08-02,West,consumer,fashion,,1022.36
ORD-100440,2025-08-02,West,consumer,electronics,,2606.53
ORD-100441,2025-08-02,West,consumer,grocery,,3062.02
ORD-100442,2025-08-02,West,consumer,fashion,,2736.95
ORD-100443,2025-08-02,West,consumer,fashion,,2968.78
ORD-100444,2025-08-02,West,consumer,grocery,,1136.16
ORD-100445,2025-08-02,West,consumer,electronics,,2697.94
ORD-100446,2025-08-02,West,consumer,grocery,,2127.64
ORD-100447,2025-08-02,West,consumer,electronics,,1965.49
ORD-100448,2025-08-02,West,consumer,fashion,,3183.5
ORD-100449,2025-08-02,West,consumer,grocery,,3731.35
ORD-100450,2025-08-02,West,consumer,fashion,,4014.93
ORD-100451,2025-08-02,West,consumer,electronics,,3583.33
ORD-100452,2025-08-02,West,consumer,grocery,,2301.24
